Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Michael Jordan,17,42.2,34.8,11.7,22.9,51.0,0.6,2.1,28.6,10.8,13.5,79.9,1.5,5.5,7.0,7.6,2.5,0.8,4.0,34.7
Karl Malone,3,45.3,30.7,11.0,22.0,50.0,0.0,0.0,0.0,8.7,10.7,81.3,7.3,9.0,16.3,1.3,1.0,0.3,4.3,32.3
Chris Mullin,8,42.6,29.4,11.0,20.4,54.0,0.1,1.0,12.5,7.3,8.4,86.6,1.4,4.5,5.9,4.5,1.8,1.4,4.0,28.4
Clyde Drexler,3,42.7,27.7,11.7,23.7,49.3,0.0,0.7,0.0,4.3,5.7,76.5,4.3,2.3,6.7,8.3,2.0,0.7,4.0,28.0
John Stockton,3,46.3,27.3,10.0,19.7,50.8,1.0,1.3,75.0,6.3,7.0,90.5,0.7,2.7,3.3,13.7,3.7,1.7,3.7,35.7
Dominique Wilkins,5,42.4,27.2,10.4,23.2,44.8,1.0,3.4,29.4,5.4,7.6,71.1,2.0,3.4,5.4,3.4,0.8,1.6,2.4,21.0
Charles Barkley,3,45.0,27.0,9.7,15.0,64.4,0.3,1.7,20.0,7.3,10.3,71.0,2.7,9.0,11.7,5.3,1.7,0.7,3.7,34.3
Alex English,3,36.0,26.0,10.7,20.7,51.6,0.0,0.0,0.0,4.7,5.3,87.5,2.7,1.7,4.3,3.7,0.3,0.0,4.7,19.0
Tom Chambers,12,41.3,26.0,9.8,21.4,45.9,0.8,1.8,40.9,5.6,6.5,85.9,1.8,9.1,10.9,3.8,1.1,1.3,3.3,27.3
Walter Davis,3,31.3,25.7,10.3,20.0,51.7,0.0,1.3,0.0,5.0,5.0,100,0.7,1.0,1.7,1.3,1.0,0.0,2.7,17.3
Hakeem Olajuwon,4,40.5,25.3,10.5,20.3,51.9,0.0,0.0,0.0,4.3,6.3,68.0,3.5,9.5,13.0,3.0,2.5,2.8,2.5,32.3
James Worthy,15,40.0,24.8,10.2,18.0,56.7,0.2,0.5,37.5,4.2,5.3,78.8,2.5,4.3,6.7,2.8,1.2,1.1,2.2,25.5
Kevin Johnson,12,41.2,23.8,7.5,15.2,49.5,0.3,0.8,30.0,8.5,9.2,92.7,1.0,3.3,4.3,12.3,1.6,0.4,4.6,29.3
Dale Ellis,8,38.0,22.9,9.0,20.0,45.0,1.9,4.6,40.5,3.0,4.1,72.7,1.8,2.3,4.0,1.3,1.4,0.1,2.6,14.9
Ricky Pierce,9,32.4,22.3,8.6,15.7,54.6,0.7,0.9,75.0,4.6,5.2,87.2,0.6,2.2,2.8,2.8,1.2,0.2,1.0,20.6
Terry Porter,3,41.3,22.0,8.7,17.3,50.0,1.3,3.7,36.4,3.3,4.0,83.3,2.0,3.3,5.3,8.3,0.3,0.3,2.3,24.7
Moses Malone,5,39.4,21.0,6.4,12.8,50.0,0.2,0.2,100,8.0,10.2,78.4,5.4,6.6,12.0,1.8,1.4,0.8,2.2,26.2
Ron Anderson,3,36.3,20.7,9.7,17.0,56.9,0.0,0.3,0.0,1.3,1.7,80.0,2.3,3.0,5.3,4.3,0.3,0.7,0.7,23.0
