Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Dominique Wilkins,78,39.1,30.3,11.4,24.3,46.8,0.2,0.9,18.6,7.4,9.0,81.8,3.3,4.6,7.9,2.6,1.8,0.6,3.2,25.5
Adrian Dantley,76,36.1,29.8,10.8,19.1,56.3,0.0,0.1,9.1,8.3,10.5,79.1,2.3,2.9,5.2,3.5,0.8,0.1,3.0,25.8
Alex English,81,37.3,29.8,11.7,23.3,50.4,0.0,0.1,20.0,6.3,7.3,86.2,2.4,2.6,5.0,4.0,0.9,0.4,3.1,24.4
Larry Bird,82,38.0,25.8,9.7,19.6,49.6,1.0,2.4,42.3,5.4,6.0,89.6,2.3,7.5,9.8,6.8,2.0,0.6,3.2,31.3
Purvis Short,64,37.9,25.5,9.9,20.5,48.2,0.2,0.8,30.6,5.5,6.3,86.5,2.0,3.2,5.1,3.7,1.4,0.3,2.9,21.8
Kiki Vandeweghe,79,35.3,24.8,9.1,16.9,54.0,0.0,0.1,12.5,6.6,7.6,86.9,1.2,1.6,2.7,2.4,0.7,0.2,2.2,19.8
Moses Malone,74,36.6,23.8,7.7,16.8,45.8,0.0,0.0,0.0,8.3,10.6,78.7,4.6,7.2,11.8,1.2,0.9,1.0,3.5,23.7
Hakeem Olajuwon,68,36.3,23.5,9.2,17.5,52.6,0.0,0.0,0.0,5.1,7.9,64.5,4.9,6.6,11.5,2.0,2.0,3.4,2.9,28.4
Mike Mitchell,82,36.2,23.4,9.8,20.7,47.3,0.0,0.1,0.0,3.9,4.8,80.9,1.6,3.4,5.0,2.3,0.7,0.3,2.2,17.6
World Free,75,33.8,23.4,8.7,19.1,45.5,0.9,2.3,42.0,5.1,6.5,78.0,1.0,1.9,2.9,4.2,1.2,0.3,2.3,17.8
Kareem Abdul-Jabbar,79,33.3,23.4,9.6,16.9,56.4,0.0,0.0,0.0,4.3,5.6,76.5,1.7,4.4,6.1,3.5,0.8,1.6,2.6,24.2
Mark Aguirre,74,33.8,22.6,9.0,17.9,50.3,0.2,0.8,28.6,4.3,6.1,70.5,2.4,3.6,6.0,4.6,0.8,0.2,3.4,20.1
Jeff Malone,80,37.4,22.4,9.2,19.0,48.3,0.0,0.2,17.6,4.0,4.6,86.8,0.8,2.8,3.6,2.4,0.9,0.2,2.1,16.9
Walter Davis,70,32.0,21.8,8.9,18.4,48.5,0.3,1.1,23.7,3.7,4.4,84.3,0.8,2.1,2.9,5.2,1.4,0.0,3.1,18.0
Rolando Blackman,82,34.0,21.5,8.3,16.1,51.4,0.0,0.4,13.8,4.9,5.9,83.6,1.1,2.5,3.5,3.3,1.0,0.3,2.3,18.5
Kevin McHale,68,35.3,21.3,8.3,14.4,57.4,0.0,0.0,0.0,4.8,6.2,77.6,2.5,5.6,8.1,2.7,0.4,2.0,2.2,24.8
Joe Barry Carroll,79,35.5,21.2,8.2,17.8,46.3,0.0,0.0,0.0,4.8,6.3,75.2,2.4,6.0,8.5,2.2,1.3,1.8,3.5,20.4
Isiah Thomas,77,36.2,20.9,7.9,16.2,48.8,0.3,1.1,31.0,4.7,6.0,79.0,1.1,2.5,3.6,10.8,2.2,0.3,3.8,24.4
Orlando Woolridge,70,32.1,20.7,7.7,15.6,49.5,0.1,0.3,17.4,5.2,6.6,78.8,2.1,2.9,5.0,3.0,0.7,0.7,2.5,18.4
Marques Johnson,75,34.7,20.3,8.2,16.0,51.0,0.0,0.2,6.7,4.0,5.2,76.0,2.1,3.5,5.5,3.8,1.4,0.7,2.4,20.2
Larry Nance,73,34.0,20.2,8.0,13.7,58.1,0.0,0.1,0.0,4.2,6.1,69.8,2.3,6.2,8.5,3.3,1.0,1.8,2.9,24.2
Sidney Moncrief,73,35.2,20.2,6.4,13.2,48.9,0.5,1.4,32.0,6.8,7.9,85.9,1.6,3.0,4.6,4.9,1.4,0.2,2.4,21.0
Charles Barkley,80,36.9,20.0,7.4,13.0,57.2,0.2,0.9,22.7,5.0,7.2,68.5,4.4,8.4,12.8,3.9,2.2,1.6,4.4,28.3
Kelly Tripucka,81,32.4,20.0,7.6,15.3,49.8,0.1,0.3,48.0,4.7,5.5,85.6,1.4,2.9,4.3,3.3,1.1,0.1,2.3,18.1
James Worthy,75,32.7,20.0,8.4,14.5,57.9,0.0,0.2,0.0,3.2,4.2,77.1,1.8,3.3,5.2,2.7,1.1,1.0,2.0,20.9
Herb Williams,78,35.5,19.9,8.0,16.3,49.2,0.0,0.2,8.3,3.8,5.2,73.0,2.2,6.9,9.1,2.2,0.6,2.4,2.7,21.8
Terry Cummings,82,32.5,19.8,8.3,17.5,47.4,0.0,0.0,0.0,3.2,4.9,65.6,2.7,5.8,8.5,2.4,1.5,0.6,2.3,19.5
Roy Hinson,82,34.6,19.6,7.6,14.2,53.2,0.0,0.0,0.0,4.4,6.2,71.9,2.0,5.8,7.8,1.2,0.8,1.4,2.3,20.1
Ralph Sampson,79,36.3,18.9,7.9,16.2,48.8,0.0,0.2,13.3,3.1,4.8,64.1,3.3,7.9,11.1,3.6,1.3,1.6,3.6,22.8
Magic Johnson,72,35.8,18.8,6.7,12.8,52.6,0.1,0.6,23.3,5.3,6.0,87.1,1.2,4.7,5.9,12.6,1.6,0.2,3.8,28.5
Cliff T. Robinson,78,32.9,18.7,7.6,16.1,47.4,0.0,0.0,33.3,3.4,4.5,76.2,2.3,6.4,8.7,2.4,1.3,0.6,2.6,19.5
Eddie Johnson,82,30.7,18.7,7.6,16.0,47.5,0.0,0.2,20.0,3.4,4.2,81.6,2.1,3.0,5.1,2.6,0.7,0.2,2.3,15.8
Clyde Drexler,75,34.3,18.5,7.2,15.2,47.5,0.2,0.8,20.0,3.9,5.1,76.9,2.3,3.3,5.6,8.0,2.6,0.6,3.8,22.4
Reggie Theus,82,35.6,18.3,6.7,13.9,48.0,0.1,0.4,17.1,4.9,6.0,82.7,0.9,2.8,3.7,9.6,1.4,0.2,4.0,21.0
Julius Erving,74,33.4,18.1,7.0,14.7,48.0,0.1,0.4,28.1,3.9,5.0,78.5,2.3,2.7,5.0,3.4,1.5,1.1,2.9,17.5
Sleepy Floyd,82,33.7,17.2,6.2,12.3,50.6,0.5,1.5,32.8,4.3,5.4,79.6,0.9,2.7,3.6,9.1,1.9,0.2,3.5,21.3
Jack Sikma,80,34.9,17.1,6.4,13.8,46.2,0.0,0.2,0.0,4.4,5.1,86.4,1.8,7.5,9.4,3.8,1.2,0.9,2.7,21.5
Xavier McDaniel,82,33.0,17.1,7.0,14.3,49.0,0.0,0.1,20.0,3.0,4.4,68.7,3.7,4.2,8.0,2.4,1.2,0.5,3.0,17.4
Alvin Robertson,82,35.1,17.0,6.9,13.3,51.4,0.1,0.4,27.6,3.2,4.0,79.5,2.2,4.0,6.3,5.5,3.7,0.5,3.1,22.5
Lewis Lloyd,82,29.8,16.9,7.2,13.6,52.9,0.0,0.2,21.4,2.4,2.9,84.3,1.9,2.1,4.0,3.7,1.2,0.3,2.4,16.8
Artis Gilmore,71,33.7,16.7,6.0,9.6,61.8,0.0,0.0,0.0,4.8,6.8,70.1,2.3,6.1,8.5,1.4,0.5,1.5,2.6,20.3
Bill Laimbeer,82,35.3,16.6,6.6,13.5,49.2,0.0,0.2,28.6,3.2,3.9,83.4,3.7,9.4,13.1,1.8,0.7,0.8,1.6,23.9
Mike Gminski,81,31.2,16.5,6.1,11.7,51.7,0.0,0.0,0.0,4.3,4.9,89.3,2.5,5.7,8.2,1.6,0.7,0.9,1.7,20.0
George Gervin,82,25.2,16.2,6.3,13.4,47.2,0.0,0.2,21.1,3.5,3.9,87.9,1.0,1.7,2.6,1.8,0.6,0.3,2.0,11.9
Robert Parish,81,31.7,16.1,6.5,11.9,54.9,0.0,0.0,0.0,3.0,4.1,73.1,3.0,6.5,9.5,1.8,0.8,1.4,2.3,20.8
Buck Williams,82,37.4,15.9,6.1,11.7,52.3,0.0,0.0,0.0,3.7,5.4,67.6,4.0,8.0,12.0,1.6,0.9,1.2,3.0,21.3
Otis Birdsong,77,31.1,15.8,7.0,13.7,51.3,0.1,0.3,36.4,1.6,2.7,58.1,1.1,1.5,2.6,3.4,1.1,0.2,2.3,13.0
Mike Woodson,81,29.8,15.6,6.3,13.2,47.5,0.0,0.2,15.4,3.0,3.6,83.7,1.2,1.6,2.8,2.4,1.1,0.5,1.8,13.1
Dennis Johnson,78,35.0,15.6,6.2,13.6,45.5,0.1,0.5,14.3,3.1,3.8,81.8,0.9,2.6,3.4,5.8,1.4,0.4,2.2,16.4
Byron Scott,76,28.8,15.4,6.7,13.0,51.3,0.3,0.8,36.1,1.8,2.3,78.4,0.7,1.8,2.5,2.2,1.1,0.2,1.4,13.1
Maurice Cheeks,82,39.9,15.4,6.0,11.1,53.7,0.0,0.2,23.5,3.4,4.1,84.2,0.7,2.2,2.9,9.2,2.5,0.3,2.9,21.6
Sam Perkins,80,32.8,15.4,5.7,11.4,50.3,0.1,0.4,33.3,3.8,4.7,81.4,2.4,6.1,8.6,1.9,0.9,1.2,1.8,19.7
Karl Malone,81,30.6,14.9,6.2,12.5,49.6,0.0,0.0,0.0,2.4,5.0,48.1,2.1,6.7,8.9,2.9,1.3,0.5,3.4,16.1
Wayman Tisdale,81,28.1,14.7,6.4,12.4,51.5,0.0,0.0,0.0,2.0,2.9,68.4,2.4,4.9,7.2,1.0,0.4,0.5,2.3,14.6
Mychal Thompson,82,31.3,14.7,6.1,12.3,49.8,0.0,0.0,0.0,2.4,3.8,64.1,2.2,5.2,7.4,2.1,0.9,0.4,2.4,15.7
Thurl Bailey,82,28.8,14.6,5.9,13.1,44.8,0.0,0.1,0.0,2.8,3.4,83.0,1.8,4.2,6.0,1.9,0.5,1.4,1.8,14.8
Albert King,73,27.4,14.3,6.0,13.2,45.6,0.1,0.3,17.4,2.3,2.8,82.3,1.6,3.4,5.0,2.5,0.8,0.3,2.5,12.8
